title,main_genre,belongs_to_collection,budget,revenue,production_companies,vote_average,popularity,runtime,cast_size,crew_size,cast_tr,director_tr,production_company_tr,English,title_length,rel_year,rel_month
Entrapment,Romance,False,66.0,212.404396,2.0,6.0,10.62333,112.0,21,105,2628.990483,153.883747,0.0,True,10,1999,April
Idle Hands,Thriller,False,25.0,4.15223,3.0,6.1,6.851628,92.0,25,13,34.474096,2.260622000000001,3868.652213,True,9,1999,April
Vaali,Romance,False,0.5,0.5,,6.0,0.509127,157.0,11,7,1.0,0.0,,True,5,1999,May
Notting Hill,Romance,False,42.0,363.889678,4.0,7.0,9.874043,124.0,27,11,2183.570245,0.0,0.0,True,11,1999,May
East Is East,Comedy,True,3.8,28.2,3.0,6.5,5.138367,97.0,21,5,15.09226,0.0,0.0,True,10,1999,May
The Limey,Action,False,10.0,3.193102,1.0,6.6,7.807741,89.0,14,31,43.669781,77.745568,9.247881,True,8,1999,May
Star Wars: Episode I - The Phantom Menace,Adventure,True,115.0,924.317558,1.0,6.4,15.649091,136.0,58,14,736.5447130000001,917.835007,3431.5366160000003,True,34,1999,May
Limbo,Adventure,False,8.0,1.997807,,7.0,1.969282,126.0,4,3,178.921951,14.950321,,True,5,1999,June
Human Traffic,Comedy,False,0.6,4.0,2.0,6.8,4.988283,99.0,9,4,0.0,0.0,0.0,True,12,1999,June
Austin Powers: The Spy Who Shagged Me,Adventure,True,33.0,310.940086,2.0,6.1,13.984182,95.0,18,26,347.220661,67.683989,3374.377991,True,31,1999,June
Tarzan,Adventure,True,150.0,448.0,1.0,7.1,12.453452,88.0,11,27,1266.599672,35.348596999999984,5023.111414999999,True,6,1999,June
The General's Daughter,Crime,False,60.0,149.705852,4.0,6.1,14.039654999999998,116.0,16,23,2314.338854,224.012234,16156.938959,True,20,1999,June
Big Daddy,Comedy,False,34.2,234.80189500000003,1.0,6.2,8.011869,93.0,20,38,504.592246,42.12333800000002,3185.396528,True,8,1999,June
Wild Wild West,Action,False,170.0,222.104681,4.0,5.1,9.887602,106.0,29,12,2183.186119,956.0599,0.0,True,12,1999,June
American Pie,Comedy,True,11.0,235.483004,4.0,6.4,18.344227,95.0,43,86,53.57926900000001,0.0,14188.994564,True,11,1999,July
The Blair Witch Project,Horror,True,0.06,248.0,2.0,6.3,14.838385999999998,81.0,10,28,0.0,0.0,12.440983000000015,True,20,1999,July
Muppets from Space,Fantasy,True,24.0,16.290976,2.0,5.8,7.531667999999999,87.0,18,9,0.0,0.0,3420.198423,True,16,1999,July
Eyes Wide Shut,Mystery,False,65.0,162.091208,4.0,7.1,13.268484,159.0,18,18,3467.556431,284.354322,0.0,True,12,1999,July
Lake Placid,Horror,True,27.0,56.870414,3.0,5.5,13.787107999999998,82.0,17,38,2175.264817,243.497111,188.617923,True,10,1999,July
The Wood,Comedy,False,6.0,25.05964,1.0,7.1,4.414077,106.0,11,3,132.412203,0.0,0.0,True,7,1999,July
Pokémon: The Movie 2000,Adventure,True,30.0,133.94926999999998,7.0,6.4,7.554848,84.0,8,11,0.0,163.644662,183.644662,False,20,1999,July
The Haunting,Horror,False,80.0,91.188905,2.0,5.2,8.967638,113.0,21,108,2060.477083,1009.427735,122.417389,True,11,1999,July
Drop Dead Gorgeous,Comedy,False,10.0,10.571408,3.0,6.5,6.396767,98.0,19,6,880.8168499999999,0.0,3685.318077,True,16,1999,July
Trick,Comedy,False,0.45,2.049595,1.0,6.7,2.493289,89.0,4,2,0.6260569999999999,0.0,58.013344,True,5,1999,July
Deep Blue Sea,Action,False,60.0,73.648228,4.0,5.6,7.493614999999999,105.0,18,148,0.0,687.7834809999999,534.447269,True,11,1999,July
Runaway Bride,Comedy,False,70.0,309.457509,4.0,5.8,8.919469,116.0,18,32,3363.3144610000004,607.0590179999999,16306.644811000002,True,12,1999,July
Dick,Comedy,False,13.0,27.5,1.0,5.7,3.960622,94.0,15,16,592.4563539999999,34.566564,3436.489399,True,4,1999,August
Universal Soldier: The Return,Action,True,45.0,10.667893,2.0,4.2,7.805144999999999,82.0,12,8,561.0790999999999,0.0,4362.644001000001,True,26,1999,August
Mystery Men,Adventure,False,68.0,29.762011,3.0,5.7,10.466306,121.0,26,13,998.757159,0.0,14424.477568,True,10,1999,August
